 EoSType = BetaEq
 Nrho= 231   NT=  61
 RhoMin=   0.161865E-09    RhoMax=   0.161865E-02
 Tmin=   0.100000E+00    Tmax=   0.891251E+02
HeatCapacity=   0.160000E-02
     GammaTh=   0.166667E+01
    Kappa=   0.100000E+03
 RhoSpacing = Log
 TSpacing = Log
  -1.970267E-03   1.600032E+00   2.046167E-02
  -1.948499E-03   1.600946E+00   2.068858E-02
  -1.926266E-03   1.601870E+00   2.092134E-02
  -1.903481E-03   1.602802E+00   2.115367E-02
  -1.880202E-03   1.603743E+00   2.138977E-02
  -1.856380E-03   1.604692E+00   2.162744E-02
  -1.832007E-03   1.605649E+00   2.186651E-02
  -1.807116E-03   1.606617E+00   2.210959E-02
  -1.781628E-03   1.607592E+00   2.235216E-02
  -1.755617E-03   1.608578E+00   2.260040E-02
  -1.729006E-03   1.609572E+00   2.284911E-02
  -1.701813E-03   1.610575E+00   2.309991E-02
  -1.674044E-03   1.611588E+00   2.335444E-02
  -1.645632E-03   1.612611E+00   2.360839E-02
  -1.616665E-03   1.613643E+00   2.386828E-02
  -1.587038E-03   1.614684E+00   2.412756E-02
  -1.556796E-03   1.615738E+00   2.438973E-02
  -1.525918E-03   1.616800E+00   2.465478E-02
  -1.494360E-03   1.617871E+00   2.492002E-02
  -1.462195E-03   1.618956E+00   2.519130E-02
  -1.429318E-03   1.620050E+00   2.546192E-02
  -1.395795E-03   1.621154E+00   2.573714E-02
  -1.361574E-03   1.622269E+00   2.601388E-02
  -1.325882E-03   1.623396E+00   2.629179E-02
  -1.288721E-03   1.624534E+00   2.657526E-02
  -1.250781E-03   1.625682E+00   2.685780E-02
  -1.212110E-03   1.626844E+00   2.714510E-02
  -1.172655E-03   1.628016E+00   2.743322E-02
  -1.132418E-03   1.629198E+00   2.772370E-02
  -1.091409E-03   1.630394E+00   2.801781E-02
  -1.049575E-03   1.631602E+00   2.831072E-02
  -1.006971E-03   1.632821E+00   2.861092E-02
  -9.635283E-04   1.634052E+00   2.891011E-02
  -9.192704E-04   1.635297E+00   2.921173E-02
  -8.741838E-04   1.636554E+00   2.951682E-02
  -8.282337E-04   1.637822E+00   2.982157E-02
  -7.814702E-04   1.639107E+00   3.013197E-02
  -7.338207E-04   1.640403E+00   3.044104E-02
