rho_c = 0.0014, P_c = 0.000205407, eps_c = 0.00152633
Scale = 100, Pressure Depletion = 1
finished odeint with kount = 3916, r = 7.78294, and P = 1.40532e-22
Found TOV solution for rho_c = 0.0014
       Mass   = 1.27184
       Radius = 6.44839
       Circ Radius = 7.78294
       Surf Lapse =  0.820471  0.820471  7.78294
#r (iso)        rho          P
3.45528   0.000999164   7.5023e-05
3.4618   0.000997701   7.47046e-05
3.46832   0.000996236   7.43867e-05
3.47484   0.000994768   7.40692e-05
3.48136   0.000993297   7.37521e-05
3.48788   0.000991823   7.34353e-05
3.49439   0.000990347   7.3119e-05
3.50091   0.000988869   7.28032e-05
3.50743   0.000987387   7.24877e-05
3.51395   0.000985903   7.21726e-05
3.52047   0.000984416   7.1858e-05
3.52699   0.000982927   7.15438e-05
3.53351   0.000981435   7.123e-05
3.54003   0.00097994   7.09166e-05
3.54655   0.000978443   7.06037e-05
3.55307   0.000976943   7.02912e-05
3.55959   0.000975441   6.99792e-05
3.56611   0.000973935   6.96676e-05
3.57263   0.000972427   6.93564e-05
3.57915   0.000970917   6.90457e-05
3.58567   0.000969404   6.87354e-05
3.59219   0.000967888   6.84256e-05
3.5987   0.000966369   6.81162e-05
3.60522   0.000964848   6.78073e-05
3.61174   0.000963324   6.74989e-05
3.61826   0.000961797   6.71909e-05
3.62478   0.000960268   6.68834e-05
3.6313   0.000958735   6.65763e-05
3.63782   0.000957201   6.62698e-05
3.64434   0.000955663   6.59637e-05
3.65086   0.000954123   6.5658e-05
3.65738   0.00095258   6.53529e-05
3.6639   0.000951035   6.50482e-05
3.67042   0.000949486   6.4744e-05
3.67694   0.000947935   6.44403e-05
3.68346   0.000946382   6.41371e-05
3.68998   0.000944825   6.38344e-05
3.6965   0.000943266   6.35321e-05
3.70302   0.000941704   6.32304e-05
3.70953   0.000940139   6.29292e-05
3.71605   0.000938572   6.26284e-05
3.72257   0.000937002   6.23282e-05
3.72909   0.000935429   6.20285e-05
3.73561   0.000933853   6.17293e-05
3.74213   0.000932275   6.14306e-05
3.74865   0.000930694   6.11324e-05
3.75517   0.00092911   6.08347e-05
3.76169   0.000927523   6.05376e-05
3.76821   0.000925934   6.02409e-05
3.77473   0.000924342   5.99448e-05
3.78125   0.000922747   5.96492e-05
3.78777   0.000921149   5.93542e-05
3.79429   0.000919549   5.90597e-05
3.80081   0.000917945   5.87657e-05
3.80733   0.000916339   5.84722e-05
3.81384   0.00091473   5.81793e-05
3.82036   0.000913119   5.78869e-05
3.82688   0.000911504   5.75951e-05
3.8334   0.000909887   5.73038e-05
3.83992   0.000908267   5.7013e-05
3.84644   0.000906644   5.67228e-05
3.85296   0.000905018   5.64332e-05
3.85948   0.00090339   5.61441e-05
3.866   0.000901758   5.58556e-05
3.87252   0.000900124   5.55676e-05
3.87904   0.000898487   5.52802e-05
3.88556   0.000896847   5.49933e-05
3.89208   0.000895204   5.47071e-05
3.8986   0.000893559   5.44213e-05
3.90512   0.00089191   5.41362e-05
3.91164   0.000890259   5.38516e-05
3.91816   0.000888604   5.35676e-05
3.92467   0.000886947   5.32842e-05
3.93119   0.000885287   5.30013e-05
3.93771   0.000883625   5.27191e-05
3.94423   0.000881959   5.24374e-05
3.95075   0.00088029   5.21563e-05
3.95727   0.000878619   5.18758e-05
3.96379   0.000876944   5.15959e-05
3.97031   0.000875267   5.13165e-05
3.97683   0.000873586   5.10378e-05
3.98335   0.000871903   5.07597e-05
3.98987   0.000870217   5.04821e-05
3.99639   0.000868528   5.02052e-05
4.00291   0.000866836   4.99288e-05
4.00943   0.000865141   4.96531e-05
4.01595   0.000863443   4.9378e-05
4.02247   0.000861742   4.91034e-05
4.02898   0.000860038   4.88295e-05
4.0355   0.000858332   4.85562e-05
4.04202   0.000856622   4.82835e-05
4.04854   0.000854909   4.80115e-05
4.05506   0.000853193   4.774e-05
4.06158   0.000851474   4.74692e-05
4.0681   0.000849753   4.7199e-05
4.07462   0.000848028   4.69294e-05
4.08114   0.0008463   4.66604e-05
4.08766   0.000844569   4.63921e-05
4.09418   0.000842835   4.61244e-05
4.1007   0.000841099   4.58573e-05
4.10722   0.000839359   4.55908e-05
4.11374   0.000837616   4.5325e-05
4.12026   0.00083587   4.50599e-05
4.12678   0.000834121   4.47953e-05
4.13329   0.000832368   4.45315e-05
4.13981   0.000830613   4.42682e-05
4.14633   0.000828855   4.40056e-05
4.15285   0.000827093   4.37437e-05
4.15937   0.000825329   4.34823e-05
4.16589   0.000823561   4.32217e-05
4.17241   0.000821791   4.29617e-05
4.17893   0.000820017   4.27023e-05
4.18545   0.00081824   4.24436e-05
4.19197   0.00081646   4.21856e-05
4.19849   0.000814676   4.19282e-05
4.20501   0.00081289   4.16715e-05
4.21153   0.0008111   4.14155e-05
4.21805   0.000809307   4.11601e-05
4.22457   0.000807511   4.09054e-05
4.23109   0.000805712   4.06513e-05
4.23761   0.00080391   4.03979e-05
4.24412   0.000802104   4.01452e-05
4.25064   0.000800296   3.98932e-05
4.25716   0.000798484   3.96418e-05
4.26368   0.000796669   3.93911e-05
4.2702   0.00079485   3.91411e-05
4.27672   0.000793028   3.88918e-05
4.28324   0.000791203   3.86431e-05
4.28976   0.000789375   3.83952e-05
4.29628   0.000787544   3.81479e-05
4.3028   0.000785709   3.79013e-05
4.30932   0.000783871   3.76554e-05
4.31584   0.000782029   3.74102e-05
4.32236   0.000780185   3.71656e-05
4.32888   0.000778337   3.69218e-05
4.3354   0.000776485   3.66787e-05
4.34192   0.000774631   3.64362e-05
4.34843   0.000772773   3.61945e-05
4.35495   0.000770911   3.59534e-05
4.36147   0.000769047   3.57131e-05
4.36799   0.000767178   3.54734e-05
4.37451   0.000765307   3.52345e-05
4.38103   0.000763432   3.49963e-05
