#rho_c = 0.0014, P_c = 0.000236305, eps_c = 0.00153286
#Scale = 100, Pressure Depletion = 1
#finished odeint with kount = 3958, r = 7.8672, and P = 5.03375e-23
#Found TOV solution for rho_c = 0.0014
#       Mass   = 1.41939
#       Radius = 6.36873
#       Circ Radius = 7.8672
#       Surf Lapse =  0.799477  0.799477  7.8672
#r (iso)        rho          P
3.88907   0.000917913   6.50933e-05
3.89551   0.000916421   6.477e-05
3.90195   0.000914926   6.44472e-05
3.90839   0.000913428   6.4125e-05
3.91483   0.000911929   6.38034e-05
3.92126   0.000910427   6.34824e-05
3.9277   0.000908922   6.3162e-05
3.93414   0.000907415   6.28421e-05
3.94058   0.000905906   6.25229e-05
3.94702   0.000904395   6.22043e-05
3.95346   0.000902881   6.18863e-05
3.9599   0.000901364   6.15688e-05
3.96634   0.000899845   6.1252e-05
3.97277   0.000898324   6.09358e-05
3.97921   0.0008968   6.06202e-05
3.98565   0.000895274   6.03052e-05
3.99209   0.000893746   5.99908e-05
3.99853   0.000892214   5.96771e-05
4.00497   0.000890681   5.93639e-05
4.01141   0.000889145   5.90514e-05
4.01785   0.000887606   5.87395e-05
4.02429   0.000886065   5.84282e-05
4.03072   0.000884522   5.81176e-05
4.03716   0.000882976   5.78076e-05
4.0436   0.000881428   5.74982e-05
4.05004   0.000879877   5.71894e-05
4.05648   0.000878323   5.68813e-05
4.06292   0.000876767   5.65738e-05
4.06936   0.000875209   5.62669e-05
4.0758   0.000873647   5.59607e-05
4.08224   0.000872084   5.56551e-05
4.08867   0.000870518   5.53502e-05
4.09511   0.000868949   5.50459e-05
4.10155   0.000867377   5.47423e-05
4.10799   0.000865804   5.44393e-05
4.11443   0.000864227   5.41369e-05
4.12087   0.000862648   5.38353e-05
4.12731   0.000861066   5.35342e-05
4.13375   0.000859482   5.32338e-05
4.14019   0.000857895   5.29341e-05
4.14662   0.000856305   5.26351e-05
4.15306   0.000854713   5.23367e-05
4.1595   0.000853118   5.20389e-05
4.16594   0.00085152   5.17419e-05
4.17238   0.00084992   5.14455e-05
4.17882   0.000848317   5.11497e-05
4.18526   0.000846711   5.08547e-05
4.1917   0.000845103   5.05603e-05
4.19813   0.000843492   5.02666e-05
4.20457   0.000841878   4.99735e-05
4.21101   0.000840262   4.96812e-05
4.21745   0.000838642   4.93895e-05
4.22389   0.00083702   4.90985e-05
4.23033   0.000835395   4.88082e-05
4.23677   0.000833768   4.85185e-05
4.24321   0.000832138   4.82296e-05
4.24965   0.000830504   4.79413e-05
4.25608   0.000828868   4.76537e-05
4.26252   0.00082723   4.73669e-05
4.26896   0.000825588   4.70807e-05
4.2754   0.000823944   4.67952e-05
4.28184   0.000822296   4.65104e-05
4.28828   0.000820646   4.62263e-05
4.29472   0.000818993   4.59429e-05
4.30116   0.000817337   4.56602e-05
4.3076   0.000815678   4.53782e-05
4.31403   0.000814016   4.50969e-05
4.32047   0.000812352   4.48163e-05
4.32691   0.000810684   4.45364e-05
4.33335   0.000809013   4.42573e-05
4.33979   0.00080734   4.39788e-05
4.34623   0.000805663   4.37011e-05
4.35267   0.000803984   4.34241e-05
4.35911   0.000802301   4.31477e-05
4.36555   0.000800616   4.28721e-05
4.37198   0.000798927   4.25973e-05
4.37842   0.000797235   4.23231e-05
4.38486   0.000795541   4.20497e-05
4.3913   0.000793843   4.17769e-05
4.39774   0.000792142   4.1505e-05
4.40418   0.000790438   4.12337e-05
